merged_df
year-month,gas_value,monthly_ev_sales_with_noise,stock_price_close,stations_number,number_of_licensed_drivers,electricity_price
2022-04,4.21275,1823.5,32.729,115499.0,234334000.0,0.151
2022-05,4.545,1786.0,24.38142857142860,118596.0,234564000.0,0.154
2022-06,5.03225,2591.9333333333300,22.826190476190500,121108.0,234794000.0,0.16
2022-07,4.668,2199.2580645161300,22.4835,123395.0,235024000.0,0.164
2022-08,4.087400000000000,2029.1612903225800,30.08695652173910,126119.0,235254000.0,0.167
2022-09,3.81675,2447.4,29.732727272727300,130836.0,235484000.0,0.167
2022-10,3.9354,2439.548387096770,27.325714285714300,135309.0,235714000.0,0.166
2022-11,3.79925,2440.9333333333300,28.674285714285700,137944.0,235944000.0,0.163
2022-12,3.3235,2685.2903225806500,26.094285714285700,141474.0,236174000.0,0.165
2023-01,3.4452,2641.064516129030,28.736,144313.0,236404000.0,0.168
2023-02,3.5012500000000000,3033.0714285714300,34.35578947368420,146901.0,236640416.66666700,0.168
2023-03,3.535,3017.6129032258100,32.133043478260900,150415.0,236876833.33333300,0.166
2023-04,3.71075,3261.766666666670,31.073684210526300,152984.0,237113250.0,0.165
2023-05,3.6662,3158.064516129030,37.93409090909090,155873.0,237349666.66666700,0.165
2023-06,3.68425,3545.5666666666700,41.88761904761910,160987.0,237586083.33333300,0.17
2023-07,3.7124,3375.483870967740,45.683500000000000,164143.0,237822500.0,0.169
2023-08,3.95425,3138.516129032260,44.97782608695650,167921.0,238058916.66666700,0.17
2023-09,3.9575,3555.9666666666700,46.43380952380950,171565.0,238295333.33333300,0.171
2023-10,3.742,3175.064516129030,44.04,176261.0,238531750.0,0.169
2023-11,3.4425,3109.633333333330,52.44428571428570,180107.0,238768166.66666700,0.168
2023-12,3.257,3454.7419354838700,61.278,183277.0,239004583.33333300,0.169
2024-01,3.1968,2785.483870967740,62.87619047619050,186350.0,0.0,0.173
2024-02,3.32825,3251.4137931034500,74.405,189012.0,0.0,0.173
2024-03,3.5415,3311.2903225806500,78.5125,192395.0,0.0,0.174
2024-04,3.7334000000000000,3725.5333333333300,72.69954545454550,197315.0,0.0,0.173
2024-05,3.72525,3751.7096774193500,66.25545454545460,200997.0,0.0,0.175
2024-06,3.5755,3987.5333333333300,69.5657894736842,204406.0,0.0,0.178
2024-07,3.6004000000000000,0.0,68.79818181818180,207548.0,0.0,0.178
2024-08,3.5065,0.0,69.74727272727270,212726.0,0.0,0.177
2024-09,3.3384,0.0,72.76315789473680,0.0,0.0,0.0
